Model,Input,Accuracy,MacroF1
Markov,RRC-only,0.9941853963994185,0.992760976934055
LSTM,traffic,0.7504051863857374,0.6178093467584027
1D-CNN,traffic,0.7398276891580653,0.6866592723648011
RandomForest,traffic,0.7638829651113196,0.6753047501641023
LSTM,RRC+traffic,0.9964141640519946,0.9956541133982262
1D-CNN,RRC+traffic,0.8906320035858359,0.8498220035797917
RandomForest,RRC+traffic,0.9910354101299865,0.9891841630161399
